REF,"OLD_REF",CODE EAN,SEGMENT PRODUIT ,SOUS SEGMENT PRODUIT,MARQUE,UNIVERS,GAMME,DESIGNATION,TAILLE,COULEUR,PCB,Statut, PPR TTC 2025, PAHT Brut 2025, PA HT remisé (20%)
1002795,38405-161-0,4009839297267,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau de chef 16 cm ZWILLING® Pro,160,Noir,1,Actuel,"99,95 €","73,16 €","  58,53 € "
1002828,38411-201-0,4009839339660,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau de chef 20 cm ZWILLING® Pro lame classique,200,Noir,1,Actuel,"109,00 €","79,79 €","  63,83 € "
1002774,38401-201-0,4009839257148,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau de chef 20 cm ZWILLING® Pro,200,Noir,1,Actuel,"109,00 €","79,79 €","  63,83 € "
1002781,38401-261-0,4009839302633,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau de chef 26 cm ZWILLING® Pro,260,Noir,1,Actuel,"119,00 €","87,11 €","  69,69 € "
1002800,38406-201-0,4009839257155,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau à pain 20 cm ZWILLING® Pro,200,Noir,1,Actuel,"94,95 €","69,50 €","  55,60 € "
1002819,38409-121-0,4009839257193,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau à steak 12 cm ZWILLING® Pro,120,Noir,1,Actuel,"72,95 €","53,40 €","  42,72 € "
1002790,38404-141-0,4009839257209,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau à désosser 14 cm ZWILLING® Pro,140,Noir,1,Actuel,"89,95 €","65,84 €","  52,67 € "
1002786,38403-181-0,4009839257216,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau à filet 18 cm ZWILLING® Pro,180,Noir,1,Actuel,"89,95 €","65,84 €","  52,67 € "
1002809,38407-181-0,4009839257162,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau santoku 18 cm ZWILLING® Pro,180,Noir,1,Actuel,"109,00 €","79,79 €","  63,83 € "
1002816,38408-181-0,4009839257179,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau santoku avec alvéoles 18 cm ZWILLING® Pro,180,Noir,1,Actuel,"114,00 €","83,45 €","  66,76 € "
1002864,38429-171-0,4009839407932,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Nakiri 17 cm ZWILLING® Pro,170,Noir,1,Actuel,"109,00 €","79,79 €","  63,83 € "
1002838,38415-161-0,4009839257247,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couperet 16 cm ZWILLING® Pro,160,Noir,1,Actuel,"119,00 €","87,11 €","  69,69 € "
1002848,38419-181-0,4009839329173,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau de chef chinois 18 cm ZWILLING® Pro,180,Noir,1,Actuel,"119,00 €","87,11 €","  69,69 € "
